CFC;V9.0 + SP2 + Upd2;09.00.02.02_01.07.00.01;K9.0.2.2;
CP PtP Param;V5.1 + SP15;K05.01.15.00_01.03.00.01;K5.1.15.0;
Drive ES Basic Maintenance Shared Components;V5.6 + SP2;V05.06.02.00_00.00.01.74;V5.6.2.0;
Drive Monitor;V5.5 + SP2 + Upd1;V05.05.02.01_00.00.03.00;V05.05.02.01;
Drive Monitor Readme;V5.5 + SP2;V05.05.02.00_00.00.00.48;V5.5.2.0;
S7 Distributed Safety Programming;V5.4 + SP5;K5.4.5.0_3.5.0.2;K5.4.5.0;
FM352-5 Programming Environment;V1.2 + SP4;K1.2.4.0_1.5.0.1;K1.2.4.0;
SIMATIC WinCC flexible Runtime;2008 SP5;V1.5.0.0_1.11.0.6;V1.5.0.0;
Automation License Manager;V6.0 + SP5 + Upd1;06.00.05.01_02.01.00.05;K6.0.5.1;
Drive ES MICROMASTER 4xx;V5.4 + SP4;V05.04.04.00_00.00.00.50;V05.04.04.00;
SIMATIC OPC-XML-Gateway;V16.0;V16.00.00.00_31.02.00.01;V16.00.00.00;
Drive ES MICROMASTER;V5.4;V05.04.00.00_00.00.00.59;V05.04.00.00;
Drive ES SIMADYN D;V5.4;V05.04.00.00_00.00.00.54;V05.04.00.00;
Drive ES SIPLINK;V5.4 + SP3;V05.04.03.00_00.00.00.10;V05.04.03.00;
Drive ES SIMOREG;V5.4 + SP3;V05.04.03.00_00.00.00.87;V05.04.03.00;
Drive ES SIMOVERT;V5.5;V05.05.00.00_00.00.01.75;V05.05.00.00;
S7-PLCSIM  ;V5.4 + SP8;V05.04.08.01_01.24.00.01;K5.4.8.1;
SIMATIC ProSave;V16.0 Upd1;V16.00.00.01_04.01.00.01;V16.00.00.01;
Primary Setup Tool;V4.2 + HF1;K4.2.0.1_13.1.0.1;K4.2.0.1;
SIMATIC S7-Block Privacy;V1.0 + SP4;K1.0.4.0_9.1.0.1;K1.0.4.0;
FM 351/451 Abs;V6.0 + SP3;K6.0.3.0_1.5.0.1;K6.0.3.0;
FM 352/452 Cam;V6.0 + SP4;K6.0.4.0_1.5.0.1;K6.0.4.0;
FM 350-2 Counter Function Module;V6.0 + SP3;K6.0.3.0_1.5.0.1;K6.0.3.0;
FM 350-1/450-1 Counter;V6.0 + SP3;K6.0.3.0_1.5.0.1;K6.0.3.0;
FM 355/455 PID Control;V6.1 + SP3;K6.1.3.0_1.5.0.1;K6.1.3.0;
S7 F ConfigurationPack;V5.5 + SP13;K5.5.13.0_7.1.0.1;K5.5.13.0;
FM 355-2 Temperature Control;V6.1 + SP3;K6.1.3.0_1.5.0.1;K6.1.3.0;
SIMATIC S7-GRAPH Professional 2017 SR2;V5.6 + SP2;K5.6.2.0_3.1.0.1;K5.6.2.0;
S7-PCT;V3.5 + SP1;K3.5.1.0_1.19.0.1;K3.5.1.0;
SIMATIC S7-SCL Professional 2017 SR1;V5.6 + HF1;K5.6.0.1_2.1.0.1;K5.6.0.1;
SimoCom A;V05.05.02;---;V05.05.02;
SimoCom U;14.03.01;---;14.03.01;
STARTER;V5.3.0.3;V05.03.00.03_05.30.13.14;V5.3.0.3;
STEP 7;V5.6 + SP2;K5.6.2.0_9.1.0.1;K5.6.2.0;
SIMATIC WinCC Advanced MLK;V16.0;16.0.0.0;V16.0.0.0;
SIMATIC WinCC flexible 2008 Advanced MLK;V1.3;1.3.0.0;V1.3.0.0;
STEP 7 Professional V14 / 2017 Combo MLK;;V14.1;14.1.0.0;V14.1.0.0;
STEP 7 Professional 2017/V16 Combo MLK;V16.0;16.0.0.0;V16.0.0.0;
SIMATIC S7-Web2PLC;V1.0 + SP3;K1.0.3.0_8.1.0.1;K1.0.3.0;
SIMATIC WinCC flexible;2008 SP5 Upd1;K01.05.00.01_01.06.00.06;K1.5.0.1;
SIMATIC WinCC flexible;2008 SP5 Upd1;K01.05.00.01_01.06.00.06;K1.5.0.1;
